danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,updated_popularity,genre_edm,genre_latin,genre_pop,genre_r&b,genre_rap,genre_rock,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,mode_0,mode_1,song_age,duration_mn
0.643,0.594,-5.453,0.0318,0.0128,0.0,0.118,0.442,144.033,56,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.63013698630137,3.6111333333333335
0.674,0.881,-2.853,0.147,0.296,3.01e-06,0.0793,0.234,98.994,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.945205479452055,2.974666666666667
0.661,0.758,-5.299,0.0864,0.0797,0.0,0.106,0.387,114.098,44,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6.3123287671232875,3.73435
0.734,0.693,-6.474,0.0361,0.0878,0.0,0.341,0.55,110.021,43,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6.542465753424658,2.567066666666667
0.663,0.696,-5.994,0.0349,0.0563,6.25e-06,0.226,0.449,139.98,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7.328767123287672,3.298
0.55,0.899,-3.284,0.0458,0.0113,9.65e-05,0.137,0.408,125.85,46,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6.926027397260274,2.83465
0.703,0.868,-4.661,0.0291,0.15,0.132,0.104,0.733,121.03,64,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8.827397260273973,3.2268833333333333
0.44,0.635,-6.385,0.0326,0.129,0.0,0.121,0.327,128.133,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.852054794520548,3.4515833333333332
0.625,0.707,-4.761,0.0337,0.22,0.0,0.213,0.479,138.064,65,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,8.824657534246576,4.135933333333333
0.625,0.719,-5.541,0.0612,0.048,0.0,0.0668,0.326,101.091,36,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6.465753424657534,3.3678666666666666
0.547,0.795,-3.721,0.0489,0.145,0.0,0.11,0.723,118.118,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6.178082191780822,3.1134166666666667
0.673,0.596,-7.891,0.0354,0.166,0.0,0.11,0.19,123.969,54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.8712328767123285,3.4761166666666665
0.699,0.633,-6.547,0.0362,0.0453,0.0,0.101,0.458,123.449,42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6.619178082191781,3.07555
0.647,0.726,-4.389,0.0552,0.157,0.0,0.0844,0.767,114.996,60,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6.580821917808219,3.3166
0.588,0.67,-6.439,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,69,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7.3123287671232875,3.96955
0.79,0.865,-4.159,0.0438,0.0264,0.0892,0.24,0.362,122.99,54,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.06027397260274,3.15275
0.714,0.705,-6.479,0.0995,0.292,0.000386,0.126,0.471,114.994,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.36986301369863,3.6586833333333333
0.619,0.938,-5.245,0.35,0.0257,1.39e-05,0.128,0.601,94.38,44,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8.210958904109589,3.457133333333333
0.575,0.808,-4.578,0.0439,0.0446,0.0,0.0693,0.232,127.922,37,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.465753424657534,2.992183333333333
0.768,0.808,-1.818,0.112,0.00627,5.33e-06,0.343,0.664,119.971,42,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6.810958904109589,2.7666666666666666
0.767,0.605,-5.737,0.188,0.559,0.000363,0.193,0.657,107.042,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6.389041095890411,3.3866666666666667
0.466,0.612,-4.855,0.0307,0.0655,4.07e-06,0.132,0.236,128.114,48,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6.36986301369863,3.98445
0.744,0.79,-4.617,0.0562,0.0547,0.000802,0.32,0.847,125.002,59,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6.734246575342466,3.144
0.837,0.818,-4.474,0.0533,0.0527,0.00642,0.11,0.484,109.993,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,6.583561643835616,2.6193166666666667
0.69,0.622,-5.025,0.0622,0.253,0.0,0.116,0.544,102.04,76,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8.846575342465753,3.501516666666667
0.466,0.869,-4.275,0.0529,0.0142,0.00241,0.115,0.185,126.113,35,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6.178082191780822,3.1191666666666666
0.842,0.801,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.252054794520548,3.5416666666666665
0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.419178082191781,4.082666666666666
0.647,0.624,-8.446,0.0451,0.025,0.056,0.0616,0.477,115.002,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11.213698630136987,4.051516666666667
0.509,0.781,-3.48,0.072,0.0398,0.0,0.0749,0.176,128.0,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13.997260273972604,4.523783333333333
0.737,0.636,-4.546,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7.619178082191781,3.7108833333333333
0.584,0.54,-7.786,0.0576,0.0895,0.0,0.261,0.195,137.972,76,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8.92054794520548,3.6813833333333332
0.743,0.733,-5.337,0.0375,0.00402,0.0,0.304,0.622,104.977,70,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8.367123287671232,3.157783333333333
0.721,0.716,-7.037,0.0657,0.0334,0.00084,0.237,0.667,104.994,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6.213698630136986,3.6952333333333334
0.781,0.768,-5.991,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7.367123287671233,3.55515
0.737,0.828,-4.711,0.0396,0.0149,0.000583,0.0862,0.517,124.052,66,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6.293150684931507,3.4745666666666666
0.57,0.763,-4.137,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,58,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8.882191780821918,3.99755
0.551,0.651,-5.828,0.0594,0.225,0.0,0.224,0.562,144.875,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,8.556164383561644,3.24845
0.617,0.635,-6.769,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8.728767123287671,4.1193333333333335
0.791,0.862,-3.24,0.11,0.037,2.19e-05,0.0814,0.592,123.994,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7.7315068493150685,3.580783333333333
0.503,0.748,-4.124,0.0619,0.0305,0.0,0.343,0.356,125.896,74,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,10.597260273972603,3.5002166666666668
0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,66,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8.863013698630137,3.679683333333333
0.658,0.677,-6.628,0.0393,0.248,0.0,0.368,0.248,124.91,69,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,13.997260273972604,4.193783333333333
0.649,0.716,-5.371,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,9.4,3.43245
0.713,0.802,-7.055,0.0561,0.0435,0.00377,0.309,0.343,100.001,81,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10.53972602739726,3.778983333333333
0.503,0.727,-5.456,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12.994520547945205,4.260533333333333
0.609,0.726,-4.346,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7.2904109589041095,3.25
0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,86,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10.128767123287671,3.34645
0.63,0.928,-2.787,0.0331,0.199,0.124,0.148,0.465,123.963,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9.668493150684931,3.7026666666666666
0.532,0.783,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,12.994520547945205,4.123783333333333
0.694,0.77,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905,78,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7.558904109589041,3.076
0.604,0.787,-3.674,0.103,0.0679,0.15,0.127,0.301,126.062,72,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14.347945205479451,4.084
0.432,0.74,-5.053,0.062,0.0342,6.59e-06,0.14,0.193,139.42,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10.128767123287671,4.042
